0.012749s;I2C, W, Address, 0x3c, Ack,,,
0.012906s;I2C, W, Data, 0x6c, Ack,,,
0.013113s;I2C, Repeat start,,,,,,
0.013126s;I2C, R, Address, 0x3d, Ack,,,
0.013289s;I2C, R, Data, 0x21, Nack,,,
0.013447s;I2C, Stop,,,,,,
0.013470s;I2C, Start,,,,,,
0.013484s;I2C, W, Address, 0x3c, Ack,,,
0.013642s;I2C, W, Data, 0x6d, Ack,,,
0.013849s;I2C, Repeat start,,,,,,
0.013861s;I2C, R, Address, 0x3d, Ack,,,
0.014027s;I2C, R, Data, 0xfe, Nack,,,
0.014180s;I2C, Stop,,,,,,
0.033339s;I2C, Start,,,,,,
0.033352s;I2C, W, Address, 0xd4, Ack,,,
0.033516s;I2C, W, Data, 0x1e, Ack,,,
0.033722s;I2C, Repeat start,,,,,,
0.033735s;I2C, R, Address, 0xd5, Ack,,,
0.033898s;I2C, R, Data, 0x07, Nack,,,
0.034052s;I2C, Stop,,,,,,
0.034077s;I2C, Start,,,,,,
0.034089s;I2C, W, Address, 0xd4, Ack,,,
0.034249s;I2C, W, Data, 0x28, Ack,,,
0.034456s;I2C, Repeat start,,,,,,
0.034468s;I2C, R, Address, 0xd5, Ack,,,
0.034640s;I2C, R, Data, 0x79, Nack,,,
0.034796s;I2C, Stop,,,,,,
0.034818s;I2C, Start,,,,,,
0.034830s;I2C, W, Address, 0xd4, Ack,,,
0.034990s;I2C, W, Data, 0x29, Ack,,,
0.035193s;I2C, Repeat start,,,,,,
0.035205s;I2C, R, Address, 0xd5, Ack,,,
0.035373s;I2C, R, Data, 0x01, Nack,,,
0.035529s;I2C, Stop,,,,,,
0.035551s;I2C, Start,,,,,,
0.035564s;I2C, W, Address, 0xd4, Ack,,,
0.035723s;I2C, W, Data, 0x2a, Ack,,,
0.035930s;I2C, Repeat start,,,,,,
0.035942s;I2C, R, Address, 0xd5, Ack,,,
0.036106s;I2C, R, Data, 0x83, Nack,,,
0.036262s;I2C, Stop,,,,,,
0.036282s;I2C, Start,,,,,,
0.036295s;I2C, W, Address, 0xd4, Ack,,,
0.036461s;I2C, W, Data, 0x2b, Ack,,,
0.036688s;I2C, Repeat start,,,,,,
0.036700s;I2C, R, Address, 0xd5, Ack,,,
0.036868s;I2C, R, Data, 0x00, Nack,,,
0.037020s;I2C, Stop,,,,,,
0.037044s;I2C, Start,,,,,,
0.037057s;I2C, W, Address, 0xd4, Ack,,,
0.037214s;I2C, W, Data, 0x2c, Ack,,,
0.037425s;I2C, Repeat start,,,,,,
0.037437s;I2C, R, Address, 0xd5, Ack,,,
0.037605s;I2C, R, Data, 0x68, Nack,,,
0.037759s;I2C, Stop,,,,,,
0.037782s;I2C, Start,,,,,,
0.037794s;I2C, W, Address, 0xd4, Ack,,,
0.037951s;I2C, W, Data, 0x2d, Ack,,,
0.038158s;I2C, Repeat start,,,,,,
0.038171s;I2C, R, Address, 0xd5, Ack,,,
0.038332s;I2C, R, Data, 0x41, Nack,,,
0.038488s;I2C, Stop,,,,,,
0.038511s;I2C, Start,,,,,,
0.038523s;I2C, W, Address, 0xd4, Ack,,,
0.038689s;I2C, W, Data, 0x1e, Ack,,,
0.038896s;I2C, Repeat start,,,,,,
0.038908s;I2C, R, Address, 0xd5, Ack,,,
0.039072s;I2C, R, Data, 0x06, Nack,,,
0.039225s;I2C, Stop,,,,,,
0.039250s;I2C, Start,,,,,,
0.039262s;I2C, W, Address, 0xd4, Ack,,,
0.039432s;I2C, W, Data, 0x22, Ack,,,
0.039639s;I2C, Repeat start,,,,,,
0.039651s;I2C, R, Address, 0xd5, Ack,,,
0.039815s;I2C, R, Data, 0x44, Nack,,,
0.039969s;I2C, Stop,,,,,,
0.039991s;I2C, Start,,,,,,
